name,Owner,CardText,Mana,Notes,quantity,Rarity
Double Strike,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 1 damage twice,1,,3,Starting Deck
Rest,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),This companion gains 3 strength,2,This is a slow way to recharge the Aborah.,3,Starting Deck
Strike,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 4 damage,1,X should be higher than what’s on double strike.,3,Starting Deck
"Fiery Remembrance ",Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal X damage. Gain 1 energy if you have exhausted a card this turn,1,,3,Common
Execution,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),"Ch1 (costs 1): Deal X damage, remove any block on the target.
Ch2…N (costs 1): Deal Y damage. Execute if below Math.Floor(N /  20) percent health (text replacement, round to whole number)",,Also - The cause them to not attack thing,3,Common
Sneak Attack,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal X Damage. Costs 1 less if you have drawn additional cards this turn.,1,This could also read. Costs 1 less if you have drawn an additional card this turn,3,Uncommon
Rampage,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal X damage for each attack in your hand,2,This card is probably going to be a little busted.,3,Rare
Cathartic Violence,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),"Ch1 (costs 1): Deal X damage
Ch2 (costs 1): Deal Y damage
Ch3…N (costs 1) Deal Z damage, gain Xa Strength",,X Y and Z are small. Xa is at least double the amount of strength Aborah loses on attack,3,Rare
Summon Orb,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Choose a companion on your team. Give them an orb.,1,,3,Starting Deck
Crystallize,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"Give a companion 4 block, then 2 extra block for each orb it has.",1,,3,Starting Deck
Empower,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"For each companion on your team, give it X strength if it has at least one orb.",1,,3,Common
Healing Shield,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"For each companion on your team, give it X block if it has at least one orb. 

When exhausted heal each companion on your team X if it has at least 1 orb.",2,Wording is a little wonky hear. This could either be a 1 or 2 cost depending on the values.,,Uncommon
Final Smash,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Deal damage equal to x times the number of orbs you have summoned this combat to target enemy,1,x should be 2 or 3,3,Rare
Supercharge,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Give an orb to all allied units. Costs 1 less each time you scry this combat,8,The mana value is truly just me guessing at a large number that would make this a fun build around.,3,Rare
Hit the Wall,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),Gain 8 block. Add 2 wounds to this companion’s discard pile. Wounds are unplayable status cards,1,X should be a big number. Think Power through from Slay the Spire.,3,Starting Deck
Fire Eating,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),"Shuffle 3 status cards into this companion’s deck that say “Unplayable. When exhausted, deal 6 damage to a random enemy”.",1,,3,Starting Deck
Sentinel,Clown (https://www.notion.so/Clown-6bdd094e98184af48029dc6344a18ab0?pvs=21),Gain X block. When exhausted gain 2 energy,1,,3,Common
